TIME,start_port_id,end_port_id,user_id,gross_sales_amount_tax_excluded,payment_amount_tax_excluded,ride_duration_seconds
2023-02-11 11:00:00,20023,20023,pPaFE62RsaOUQAEcf7byfM0pkaC2,223,0,828
2023-02-11 17:00:00,20018,20010,2Ia5gbzQ2gQUY32ruVlgrGPAC2h2,237,237,881
2023-02-11 17:00:00,20034,20015,phl9sDFvXRcBd1iJR2GTtMS6uHd2,223,223,808
2023-02-11 18:00:00,20043,20024,tPg4TMlCJ9g3uLmOYH6QgUWGV3X2,237,0,873
2023-02-11 13:00:00,20034,20034,HmBgOLBikNbcn9FpYmOQJNgPy7B2,250,0,931
2023-02-11 18:00:00,20043,20024,wWmlMaxkmIaNfgnX74ZziX5f9zr1,237,237,887
2023-02-11 14:00:00,20055,20056,XYX1NOhXSNMO8xKktZpftndm30K3,264,0,988
2023-02-11 13:00:00,20014,20001,7dOZYv7sIJQrO7vpxdfitLGQchV2,250,250,946
2023-02-11 12:00:00,20009,20032,vMie3GtCXXWpPesa4av42RQYalo2,250,250,940
2023-02-11 20:00:00,20020,20010,7rtpio5slibVyDgR9y4poWVn12K3,264,264,977
2023-02-11 15:00:00,20043,20018,fPzNJcEyUhWiCQivPnKtCCMQs8i2,264,0,1013
2023-02-11 20:00:00,20020,20010,FvWMNAOPXLTLtpCKvoDPlrwhWa02,264,0,1002
2023-02-11 14:00:00,20055,20056,D0W7oIheJpRbQiNiURXGnk0OD313,264,0,983
2023-02-11 14:00:00,20055,20056,hhyY062IdmXbxa9DstRi3Lm0wDI2,264,264,1000
2023-02-11 01:00:00,20054,20050,36zbyJpEAEnDaix4WCNB,264,264,973
2023-02-11 17:00:00,20019,20010,uFQSjyMgTGVsSTyCOcog6xqhjFq2,278,0,1059
2023-02-11 15:00:00,20043,20019,uwwzhsVJFbPepSr5CuxvdW3nXrA3,278,0,1067
2023-02-11 13:00:00,20043,20018,PHBMXBMShGOaXtXbPzMuymp8wT33,291,0,1132
2023-02-11 13:00:00,20026,20043,csMe05H2OuRVRB4N3f8BA0lXhxO2,291,291,1107
2023-02-11 13:00:00,20043,20018,vGLeCxNWIJjczXvOYh6T,291,291,1134
2023-02-11 16:00:00,20031,20031,DRqIIHfL1jRwbBri2m6kHBUwPD72,291,291,1131
2023-02-11 12:00:00,20048,20051,r2ZkoF2ueJMP9o17NvpfSOzDxPq1,305,305,1185
2023-02-11 13:00:00,20010,20020,3mKirbZ1yJZebIRiruk1,305,305,1153
2023-02-11 13:00:00,20001,20014,7dOZYv7sIJQrO7vpxdfitLGQchV2,305,0,1154
2023-02-11 13:00:00,20010,20020,Cr9jUxyIXyaMg932nnRMEyqOI1G2,305,305,1155
2023-02-11 16:00:00,20062,20031,oT7Yexnpq4WmrpqhYH2WDFVddUO2,319,0,1257
2023-02-11 15:00:00,20018,20054,y9l3BT2aXDVaQ261v4FOQjyUG4k1,332,0,1264
2023-02-11 15:00:00,20018,20054,wy3pjQ6vnoVDAqW2QjdTZOx3IS72,332,0,1268
2023-02-11 16:00:00,20008,20020,sD7HxahWfjXarYO5c10EthwB2Bz2,346,0,1322
2023-02-11 16:00:00,20008,20020,ExS5hb8r6XYc4BuLkrfpoN8xmln1,332,0,1279
2023-02-11 17:00:00,20020,20064,FdryclsPLnTduu1SuH9ninEXEic2,346,346,1327
2023-02-11 13:00:00,20048,20026,3pPmvImuG2PjHxVvylHoXoKltpY2,360,0,1386
2023-02-11 15:00:00,20054,20058,Hc68dy2rr7gGTyNiRoyirgi00Cl1,360,0,1427
2023-02-11 19:00:00,20032,20021,AgFlrK67GpPNKLcLsXOxLJ5JOHD2,360,0,1434
2023-02-11 15:00:00,20054,20058,UAKPWMebSJUdYCO7kipsaWpuJPd2,373,0,1456
2023-02-11 16:00:00,20050,20050,8LyNOmBPapNY9fz7hBrKdj0i4Lv1,360,0,1412
2023-02-11 20:00:00,20009,20034,phl9sDFvXRcBd1iJR2GTtMS6uHd2,373,373,1453
2023-02-11 19:00:00,20032,20021,9Tau1IMS1TPXcxPps8AX1qtAQzU2,373,373,1460
2023-02-11 11:00:00,20032,20009,vMie3GtCXXWpPesa4av42RQYalo2,373,373,1448
2023-02-11 11:00:00,20051,20031,r2ZkoF2ueJMP9o17NvpfSOzDxPq1,373,373,1464
2023-02-11 17:00:00,20018,20010,PQNnILT4kUPxzJjOSNv8vOIVYwv1,373,0,1467
2023-02-11 16:00:00,20066,20010,nqktvjJtOpV5gQRkXAhoJ80S0sh1,373,0,1477
2023-02-11 13:00:00,20043,20007,ttMeF6M4xXhSzvm7lTeeY65HnmI3,387,387,1537
2023-02-11 13:00:00,20043,20007,uWBJ0BY2bRNUCeo9psSGgQxAE8p2,400,400,1609
2023-02-11 13:00:00,20064,20009,EcPhScIVHkl1DdInUi6I,400,400,1568
2023-02-11 14:00:00,20031,20056,y9l3BT2aXDVaQ261v4FOQjyUG4k1,414,0,1648
2023-02-11 10:00:00,20001,20055,IfFhzrW8hePimpTFLLv9ckC97H02,414,0,1650
2023-02-11 20:00:00,20024,20043,PVdRW4C28IUwneF35gdYlXqEMtY2,414,414,1622
2023-02-11 20:00:00,20024,20043,p0eMwUFfi63VbGfFd8p5,414,414,1630
2023-02-11 13:00:00,20064,20009,kBlyh8oS6bSH6r7INOugs6ak1NT2,414,414,1643
2023-02-11 14:00:00,20031,20056,wy3pjQ6vnoVDAqW2QjdTZOx3IS72,414,0,1668
2023-02-11 10:00:00,20001,20055,cgFpnnZyfmPZNLAq06RejvAsWwN2,428,0,1691
2023-02-11 16:00:00,20006,20009,0oQCWTkN6nOv1ZanENHrAxe7Ko63,428,0,1709
2023-02-11 17:00:00,20020,20049,nBVbcbgkC1Z1UZvYISE4pRQfXzO2,414,0,1666
2023-02-11 16:00:00,20006,20009,UXEQQAdSeYVJ1sODAIELQqEoioA3,428,0,1705
2023-02-11 09:00:00,20061,20019,csMe05H2OuRVRB4N3f8BA0lXhxO2,455,455,1838
2023-02-11 22:00:00,20006,20023,Cpt431fKvzUJiobc3uy5cBUDYHU2,523,0,2102
2023-02-11 16:00:00,20062,20010,DMSFx8aDuMN5Az6MF9J4cv4FEXu2,510,0,2071
2023-02-11 14:00:00,20003,20041,i185mn6Ed3TUqHvyM3tRNPHT9bG2,510,510,2077
